EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,767,370,397,8,2,6,12,5,7,203,90,113
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,24,11,13,,,,,,,9,6,3
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,361,193,168,2,1,1,5,2,3,212,107,105
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,17,3,14,,,,,,,3,1,2
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,5,4,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,598,252,346,10,5,5,24,17,7,282,130,152
Bank of Montreal,2010,Provincial,Qu�bec,,,Overall,Full-Time,539,288,251,6,3,3,5,3,2,168,86,82
Bank of Montreal,2014,National,Canada,,,Overall,Full-Time,3526,1861,1665,44,15,29,64,35,29,982,567,415
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,27,3,24,3,,3,,,,3,,3
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,574,343,231,11,10,1,17,11,6,279,177,102
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2019,Provincial,New Brunswick,,,Overall,Part-Time,29,6,23,1,1,,1,,1,3,1,2
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1205,451,754,25,8,17,33,21,12,497,212,285
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,6,6,,,,,,,,2,2,
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,375,92,283,10,1,9,9,1,8,145,45,100
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,7,1,6,,,,,,,,,
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,37,20,17,,,,1,,1,16,8,8
Bank of Montreal,2015,Provincial,Alberta,,,Overall,Part-Time,140,38,102,10,1,9,,,,42,16,26
Bank of Montreal,2018,National,Canada,,,Overall,Full-Time,3719,2028,1691,34,19,15,76,46,30,1782,976,806
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,7,4,3,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,,,Overall,Full-Time,1534,776,758,19,7,12,34,22,12,648,338,310
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,2,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,24,1,23,2,,2,,,,,,
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,2,1,1,,,,1,,1,,,
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,7,,7,1,,1,,,,2,,2
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,13,1,12,1,,1,,,,,,
Bank of Montreal,2014,Provincial,Ontario,,,Overall,Part-Time,518,173,345,14,5,9,22,11,11,106,49,57
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,8,4,4,1,,1,,,,5,2,3
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,3,2,1,,,,,,,2,1,1
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,53,19,34,,,,1,1,,24,11,13
Bank of Montreal,2011,Provincial,Nova Scotia,,,Overall,Part-Time,31,10,21,1,1,,,,,1,,1
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,59,37,22,1,1,,1,1,,6,3,3
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,14,8,6,,,,,,,6,3,3
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,636,409,227,1,1,,17,8,9,263,175,88
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Senior Managers,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,145,73,72,2,1,1,2,1,1,26,12,14
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,12,4,8,1,1,,,,,3,1,2
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,2,1,1,1,1,,,,,,,
Bank of Montreal,2011,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,5,2,3,,,,,,,1,1,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,408,138,270,10,3,7,13,7,6,110,41,69
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,561,232,329,4,1,3,8,4,4,236,101,135
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,30,10,20,1,,1,,,,9,3,6
Bank of Montreal,2019,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,2,1,1,,,,,,,,,
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Part-Time,2,1,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,18,11,7,,,,1,1,,4,4,
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,43,19,24,3,,3,,,,21,13,8
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,3,,,,,,,,,,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2019,Provincial,British Columbia,,,Overall,Full-Time,153,76,77,5,1,4,5,2,3,66,37,29
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,2,2,,,,,,,,,,
Bank of Montreal,2012,Provincial,Nova Scotia,,,Overall,Part-Time,24,7,17,1,1,,,,,3,,3
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,1,,1
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,13,9,4,,,,,,,9,7,2
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,824,185,639,24,4,20,15,4,11,223,69,154
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,4,3,1,,,,,,,,,
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,6,1,5,1,1,,1,1,,1,,1
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,27,10,17,1,,1,1,,1,7,3,4
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,12,7,5,,,,,,,3,2,1
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,7,4,3,,,,,,,2,1,1
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,2,1,1,,,,,,,,,
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,4,3,1,,,,,,,2,2,
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,8,4,4,,,,,,,,,
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,174,39,135,7,2,5,6,2,4,57,19,38
Bank of Montreal,2019,Provincial,Alberta,,,Overall,Part-Time,210,50,160,11,,11,7,1,6,73,24,49
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,14,6,8,2,,2,1,1,,,,
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,2,,2,,,,1,,1,,,
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,4,1,3,1,,1,,,,,,
Bank of Montreal,2014,Provincial,New Brunswick,,,Overall,Part-Time,22,2,20,,,,,,,3,1,2
Bank of Montreal,2017,Provincial,British Columbia,,,Overall,Part-Time,244,60,184,14,3,11,11,,11,74,30,44
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,4,3,1,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Manitoba,,,Overall,Part-Time,30,13,17,2,2,,1,1,,11,6,5
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,6,4,2,,,,,,,2,,2
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,13,3,10,4,1,3,,,,,,
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,14,2,12,2,1,1,,,,,,
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,37,17,20,1,,1,,,,13,8,5
Bank of Montreal,2016,Provincial,Nova Scotia,,,Overall,Part-Time,23,4,19,1,,1,2,,2,6,1,5
Bank of Montreal,2017,National,Canada,,,Overall,Part-Time,1296,417,879,43,7,36,43,10,33,395,159,236
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,10,4,6,,,,,,,2,1,1
Bank of Montreal,2018,Provincial,Qu�bec,,,Overall,Part-Time,351,149,202,3,1,2,4,,4,115,52,63
Bank of Montreal,2017,Provincial,British Columbia,,,Overall,Full-Time,228,111,117,8,3,5,4,1,3,92,50,42
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,48,28,20,1,,1,,,,10,5,5
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,3,2,1,,,,,,,2,2,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,7,3,4,,,,,,,4,1,3
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,200,41,159,3,,3,2,1,1,59,18,41
Bank of Montreal,2012,National,Canada,,,Overall,Part-Time,1138,294,844,28,5,23,22,3,19,231,72,159
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,46,33,13,4,2,2,,,,18,15,3
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,790,389,401,6,2,4,13,4,9,402,197,205
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,177,50,127,1,,1,1,,1,46,14,32
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,6,4,2,,,,,,,2,,2
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,13,4,9,,,,,,,4,3,1
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,18,7,11,,,,,,,6,4,2
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,25,11,14,1,,1,,,,13,7,6
Bank of Montreal,2010,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,79,31,48,4,1,3,1,1,,21,9,12
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Part-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,56,39,17,1,,1,3,2,1,20,16,4
Bank of Montreal,2013,Provincial,Alberta,,,Overall,Full-Time,271,103,168,8,3,5,5,3,2,78,33,45
Bank of Montreal,2018,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,3,1,2,,,,1,,1,,,
Bank of Montreal,2019,Provincial,Nova Scotia,,,Overall,Part-Time,38,11,27,1,,1,3,1,2,8,1,7
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,3,,3,,,,1,,1,,,
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,213,54,159,3,,3,6,,6,68,21,47
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,14,8,6,,,,,,,8,6,2
Bank of Montreal,2011,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,13,3,10,2,,2,,,,,,
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,165,75,90,3,,3,3,1,2,45,24,21
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,19,8,11,,,,,,,1,1,
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,25,6,19,2,,2,,,,5,1,4
Bank of Montreal,2013,Provincial,Saskatchewan,,,Overall,Full-Time,35,19,16,,,,,,,9,4,5
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,143,28,115,5,,5,2,,2,48,11,37
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,535,225,310,9,4,5,16,10,6,214,92,122
Bank of Montreal,2016,Provincial,Ontario,,,Overall,Part-Time,470,155,315,12,1,11,14,5,9,149,67,82
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,6,2,4,,,,,,,,,
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,6,5,1,,,,,,,2,2,
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,11,6,5,,,,1,1,,,,
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,20,2,18,2,,2,,,,,,
Bank of Montreal,2013,Provincial,Alberta,,,Overall,Part-Time,168,34,134,1,1,,3,1,2,29,8,21
Bank of Montreal,2018,National,Canada,,,Overall,Part-Time,1831,588,1243,42,11,31,44,9,35,647,235,412
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,65,36,29,1,1,,2,2,,13,10,3
Bank of Montreal,2010,Provincial,Alberta,,,Overall,Full-Time,386,141,245,7,1,6,5,3,2,105,44,61
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,8,2,6,,,,,,,4,1,3
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,26,18,8,,,,,,,3,3,
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,8,4,4,1,1,,,,,2,1,1
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,8,7,1,2,2,,1,1,,3,3,
Bank of Montreal,2011,Provincial,Alberta,,,Overall,Part-Time,116,21,95,4,,4,2,,2,31,13,18
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,110,65,45,,,,2,,2,37,26,11
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,592,307,285,4,2,2,7,2,5,342,183,159
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,3,,3,,,,,,,1,,1
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,27,21,6,,,,2,2,,6,6,
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,15,2,13,1,,1,2,1,1,,,
Bank of Montreal,2012,Provincial,Saskatchewan,,,Overall,Part-Time,28,5,23,1,,1,1,,1,5,1,4
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,21,2,19,2,,2,,,,,,
Bank of Montreal,2016,Provincial,Alberta,,,Overall,Full-Time,129,63,66,3,,3,4,3,1,42,26,16
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,28,16,12,,,,1,1,,5,4,1
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,5,3,2,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,455,130,325,8,3,5,10,2,8,92,26,66
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,30,10,20,1,,1,,,,7,3,4
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,6,5,1,,,,,,,,,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,42,27,15,,,,,,,22,14,8
Bank of Montreal,2018,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,2,1,1,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,5,,5,1,,1,,,,,,
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,457,141,316,3,2,1,20,5,15,68,23,45
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Supervisors: Crafts and Trades,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,39,17,22,1,,1,,,,14,7,7
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,23,2,21,1,,1,1,,1,1,,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,2,1,1,,,,,,,1,1,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,2,,2,,,,,,,,,
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,76,33,43,1,,1,4,1,3,31,17,14
Bank of Montreal,2017,Provincial,Alberta,,,Overall,Full-Time,172,88,84,6,2,4,2,2,,72,43,29
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,115,58,57,,,,,,,42,22,20
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,14,8,6,,,,,,,7,4,3
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,37,19,18,,,,,,,13,6,7
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,164,62,102,8,2,6,5,4,1,48,20,28
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,8,3,5,,,,,,,3,1,2
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,33,9,24,,,,,,,9,3,6
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,1,,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,23,12,11,,,,,,,6,2,4
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,427,249,178,5,4,1,15,9,6,218,135,83
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,6,5,1,,,,,,,3,2,1
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,111,18,93,3,,3,1,,1,29,7,22
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,46,36,10,1,1,,1,1,,19,15,4
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,2,,2,,,,,,,1,,1
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,69,32,37,2,1,1,1,1,,24,12,12
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,51,11,40,1,,1,2,,2,20,8,12
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,1,2,,,,,,,1,,1
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,30,16,14,1,,1,2,,2,6,4,2
Bank of Montreal,2015,Provincial,British Columbia,,,Overall,Part-Time,170,66,104,8,2,6,6,5,1,53,24,29
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,2,,2,,,,,,,,,
Bank of Montreal,2019,Provincial,New Brunswick,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,29,6,23,1,1,,1,,1,3,1,2
Bank of Montreal,2010,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,16,4,12,1,,1,,,,6,2,4
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,6,6,,,,,,,,2,2,
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,199,79,120,4,,4,7,1,6,65,29,36
Bank of Montreal,2014,Provincial,Alberta,,,Overall,Part-Time,175,46,129,4,,4,4,,4,32,14,18
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,3,3,,,,,,,,1,1,
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,69,32,37,3,1,2,,,,21,10,11
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,11,4,7,1,,1,1,1,,,,
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,57,30,27,2,1,1,3,3,,25,15,10
Bank of Montreal,2016,Provincial,British Columbia,,,Overall,Part-Time,215,54,161,3,,3,6,,6,68,21,47
Bank of Montreal,2011,Provincial,Qu�bec,,,Overall,Full-Time,566,286,280,7,4,3,7,4,3,200,105,95
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,5,3,2,,,,1,1,,4,3,1
